name,publisher,custum cpe
Windows SDK DirectX x86 Remote,Microsoft Corporation,cpe:2.3:a:microsoft:sdk:*:*:*:*:*:*:*:*
Windows SDK Modern Non-Versioned Developer Tools,Microsoft Corporation,cpe:2.3:a:microsoft:sdk:*:*:*:*:*:*:*:*
Git,The Git Development Community,cpe:2.3:a:git:git:*:*:*:*:*:*:*:*
Microsoft 365 - en-us,Microsoft Corporation,cpe:2.3:a:microsoft:office_365:*:*:*:*:*:*:*:*
Office 16 Click-to-Run Licensing Component,Microsoft Corporation,cpe:2.3:a:microsoft:office:*:*:*:*:*:*:*:*
NVIDIA Graphics Driver 466.42,NVIDIA Corporation,cpe:2.3:a:nvidia:binary_graphics_driver
Microsoft Visual C++ 2019 X64 Additional Runtime - 14.26.28720,Microsoft Corporation,cpe:2.3:a:microsoft:visual_c\+\+:*:*:*:*:*:*:*:*
Microsoft Visual C++ 2019 X64 Minimum Runtime - 14.26.28720,Microsoft Corporation,cpe:2.3:a:microsoft:visual_c\+\+:*:*:*:*:*:*:*:*
Node.js,Node.js Foundation,cpe:2.3:a:nodejs:nodejs:*:*:*:*:*:*:*:*
Google Chrome,Google LLC,cpe:2.3:a:google:chrome:*:*:*:*:*:*:*:*
Microsoft Edge,Microsoft Corporation,cpe:2.3:a:microsoft:edge:*:*:*:*:*:*:*:*
Microsoft Edge Update,,cpe:2.3:a:microsoft:edge:*:*:*:*:*:*:*:*
Microsoft Edge WebView2 Runtime,Microsoft Corporation,cpe:2.3:a:microsoft:edge:*:*:*:*:*:*:*:*
Lenovo Vantage Service,Lenovo Group Ltd.,cpe:2.3:a:lenovo:vantage:*:*:*:*:*:*:*:*
Microsoft Visual C++ 2015-2019 Redistributable (x64) - 14.26.28720,Microsoft Corporation,cpe:2.3:a:microsoft:visual_studio:*:*:*:*:*:*:*:*
Microsoft OneDrive,Microsoft Corporation,cpe:2.3:a:microsoft:onedrive:*:*:*:*:*:*:*:*
Telegram Desktop version 3.7.1,Telegram FZ-LLC,"cpe:2.3:a:telegram_desktop:telegram_desktop:*:*:*:*:*:*:*:*
"
Microsoft Visual Studio Code (User),Microsoft Corporation,cpe:2.3:a:microsoft:visual_studio:*:*:*:*:*:*:*:*
Binary Ninja (remove only),"Vector 35, Inc.",cpe:2.3:a:vector35:binary_ninja:*:*:*:*:*:*:*:*
Progress Telerik Fiddler Classic,Progress Software Corporation,cpe:2.3:a:progress:telerik_reporting:*:*:*:*:*:*:*:*
Microsoft Teams,Microsoft Corporation,cpe:2.3:a:microsoft:teams:*:*:*:*:*:*:*:*
radare2 version 4.3.1,radare.org,cpe:2.3:a:radare:radare2:*:*:*:*:*:*:*:*
Python 3.7.9 (64-bit),Python Software Foundation,cpe:2.3:a:python_software_foundation:python:*:*:*:*:*:*:*:*
7-Zip 21.07 (x64),Igor Pavlov,cpe:2.3:a:igor_pavlov:7-zip:*:*:*:*:*:*:*:*
Git,The Git Development Community,cpe:2.3:a:git:git:*:*:*:*:*:*:*:*
Microsoft SQL Server 2019 (64-bit),,"
cpe:2.3:a:microsoft:sql_server_2019_reporting_services:*:*:*:*:*:*:*:*"
Microsoft SQL Server 2019 (64-bit),Microsoft Corporation,"
cpe:2.3:a:microsoft:sql_server_2019_reporting_services:*:*:*:*:*:*:*:*"
Notepad++ (64-bit x64),Notepad++ Team,cpe:2.3:a:notepad-plus-plus:notepad\ \:*:*:*:*:*:*:*:*
VLC media player,VideoLAN,cpe:2.3:a:videolan:vlc_media_player:*:*:*:*:*:*:*:*
Microsoft SQL Server 2014 Transact-SQL ScriptDom,Microsoft Corporation,cpe:2.3:a:microsoft:sql_server:*:*:*:*:*:*:*:*
SQL Server 2019 Common Files,Microsoft Corporation,"
cpe:2.3:a:microsoft:sql_server_2019_reporting_services:*:*:*:*:*:*:*:*"
Windows SDK for Windows Store Apps DirectX x64 Remote,Microsoft Corporation,cpe:2.3:a:microsoft:sdk:*:*:*:*:*:*:*:*
Java(TM) SE Development Kit 11.0.12 (64-bit),Oracle Corporation,cpe:2.3:a:oracle:java_se:*:*:*:*:*:*:*:*
Microsoft SQL Server 2019 Setup (English),Microsoft Corporation,"
cpe:2.3:a:microsoft:sql_server_2019_reporting_services:*:*:*:*:*:*:*:*"
Microsoft SQL Server 2014 Management Objects (x64),Microsoft Corporation,cpe:2.3:a:microsoft:sql_server:*:*:*:*:*:*:*:*
SQL Server 2019 XEvent,Microsoft Corporation,"
cpe:2.3:a:microsoft:sql_server_2019_reporting_services:*:*:*:*:*:*:*:*"
SQL Server 2019 SQL Diagnostics,Microsoft Corporation,"
cpe:2.3:a:microsoft:sql_server_2019_reporting_services:*:*:*:*:*:*:*:*"
Microsoft VSS Writer for SQL Server 2019,Microsoft Corporation,"
cpe:2.3:a:microsoft:sql_server_2019_reporting_services:*:*:*:*:*:*:*:*"
Microsoft Visual Studio 2015 Update 3 Diagnostic Tools - amd64,Microsoft Corporation,"cpe:2.3:a:microsoft:visual_studio_2015:*:*:*:*:*:*:*:*
"
Microsoft Visual C++ 2012 x64 Minimum Runtime - 11.0.60610,Microsoft Corporation,cpe:2.3:a:microsoft:visual_studio:*:*:*:*:*:*:*:*
Microsoft SQL Server 2019 T-SQL Language Service,Microsoft Corporation,"
cpe:2.3:a:microsoft:sql_server_2019_reporting_services:*:*:*:*:*:*:*:*"
